,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12.30,61.50,61.50
Reserves,110.74,78.13,80.13
Borrowings +,92.14,89.46,103.88
Other Liabilities +,98.58,97.85,83.32
Total Liabilities,313.76,326.94,328.83
Fixed Assets +,1.23,0.95,0.90
CWIP,0.00,0.00,0.00
Investments,56.01,28.59,20.68
Other Assets +,256.52,297.40,307.25
Total Assets,313.76,326.94,328.83
