,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,8,8,31,31
Reserves,23,42,57,87,197,220
Borrowings +,30,25,30,21,35,66
Other Liabilities +,16,21,14,18,24,36
Total Liabilities,72,91,109,133,287,353
Fixed Assets +,26,29,32,38,53,106
CWIP,1,2,3,4,10,18
Investments,0,-0,-0,0,0,0
Other Assets +,46,61,74,92,224,229
Total Assets,72,91,109,133,287,353
