,Mar 2011,Mar 2012,Mar 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,17,17,20,20,20,23,24,24,25,25,33,33
Reserves,64,27,-65,-212,-214,-221,-176,-208,-233,-168,-181,-56,-64
Borrowings +,417,455,415,389,381,362,300,250,260,190,192,100,66
Other Liabilities +,266,309,406,209,209,227,265,207,236,232,253,276,309
Total Liabilities,761,809,773,406,396,388,412,273,286,279,289,353,344
Fixed Assets +,439,439,423,174,164,180,186,178,172,164,167,167,163
CWIP,14,17,25,13,19,14,10,10,9,14,11,2,6
Investments,1,1,1,0,0,0,0,0,0,0,0,0,0
Other Assets +,308,352,324,219,213,193,216,84,105,101,111,183,175
Total Assets,761,809,773,406,396,388,412,273,286,279,289,353,344
