,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,3,3,3,3,3,3,3,3,3,3,3,3
Reserves,116,118,120,122,123,113,94,91,96,94,48,51
Borrowings +,67,99,103,110,106,110,103,70,92,53,61,9
Other Liabilities +,219,193,224,222,224,204,159,173,168,235,177,125
Total Liabilities,405,413,450,457,457,430,359,337,359,385,290,189
Fixed Assets +,76,80,94,92,91,90,92,93,87,88,81,44
CWIP,3,3,6,3,4,4,4,0,0,1,2,0
Investments,16,8,26,12,15,12,13,13,15,12,0,0
Other Assets +,310,322,324,349,347,323,250,231,257,284,206,144
Total Assets,405,413,450,457,457,430,359,337,359,385,290,189
