,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,20,20,20,20,20,20,20,20,20,20,20,20
Reserves,7,-60,5,6,9,19,26,37,42,51,52,66,77
Borrowings +,72,83,0,0,0,7,12,12,15,18,17,36,44
Other Liabilities +,23,22,7,6,5,8,25,20,31,15,26,13,18
Total Liabilities,122,65,31,32,34,54,82,89,107,103,115,134,159
Fixed Assets +,88,30,13,13,15,19,9,6,3,21,20,19,19
CWIP,0,0,0,0,0,0,0,0,0,8,0,22,18
Investments,1,0,0,0,0,7,41,36,24,17,11,12,13
Other Assets +,32,35,18,19,19,27,32,47,80,58,83,82,109
Total Assets,122,65,31,32,34,54,82,89,107,103,115,134,159
