,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,40,56,56,56,56,56,56,56,59,59,59,59,59
Reserves,233,362,378,383,387,400,438,469,544,433,-726,-989,"-1,000"
Borrowings +,604,597,785,829,761,"1,002","1,256","1,330","1,414","1,279","1,264","1,235","1,201"
Other Liabilities +,649,398,340,340,539,515,542,596,733,996,"1,135","1,262","1,300"
Total Liabilities,"1,526","1,413","1,559","1,607","1,743","1,972","2,293","2,451","2,749","2,767","1,731","1,566","1,560"
Fixed Assets +,368,501,541,534,569,764,901,921,907,940,839,764,717
CWIP,490,475,563,615,691,673,765,879,"1,028","1,284",394,408,461
Investments,26,1,2,1,0,17,17,24,18,6,9,1,1
Other Assets +,641,435,453,457,483,519,610,627,795,537,488,393,382
Total Assets,"1,526","1,413","1,559","1,607","1,743","1,972","2,293","2,451","2,749","2,767","1,731","1,566","1,560"
