,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,492,772,"1,407","2,040","2,368"
Expenses +,459,717,"1,319","1,927","2,229"
Operating Profit,33,55,88,113,139
OPM %,7%,7%,6%,6%,6%
Other Income +,1,1,3,4,5
Interest,8,11,19,20,27
Depreciation,7,11,19,25,31
Profit before tax,18,34,52,71,86
Tax %,35%,35%,29%,38%,
Net Profit,12,22,37,45,58
EPS in Rs,1.76,2.07,3.52,3.96,5.19
