,Mar 2018,Mar 2019,Mar 2020,Mar 2022,Dec 2022
Share Capital +,2,2,2,,10
Reserves,23,28,35,,45
Borrowings +,0,0,0,,0
Other Liabilities +,4,4,4,,7
Total Liabilities,29,35,41,,62
Fixed Assets +,3,4,3,,13
CWIP,0,0,0,,2
Investments,0,5,5,,0
Other Assets +,26,26,34,,47
Total Assets,29,35,41,,62
