,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,55,55,109,109,120,121,121,122,122,122,129,129,129
Reserves,381,473,499,563,"1,295","1,422","1,471","1,923","2,421","2,073","5,267","17,113","14,108"
Borrowings +,1,1,1,1,1,1,1,1,1,77,65,64,136
Other Liabilities +,151,182,216,387,801,382,459,550,646,621,831,"3,177","3,049"
Total Liabilities,587,710,825,"1,060","2,217","1,925","2,053","2,596","3,189","2,893","6,292","20,483","17,421"
Fixed Assets +,59,55,152,149,576,82,157,88,88,242,134,"1,033","1,105"
CWIP,9,9,10,10,12,0,1,0,2,0,0,0,0
Investments,263,315,261,538,"1,175",568,551,"1,565","1,204","1,133","2,324","15,614","12,565"
Other Assets +,256,331,402,363,455,"1,276","1,343",943,"1,895","1,518","3,834","3,836","3,751"
Total Assets,587,710,825,"1,060","2,217","1,925","2,053","2,596","3,189","2,893","6,292","20,483","17,421"
