,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,30,43,43,43
Reserves,-10,-53,-88,-110
Borrowings +,200,220,220,220
Other Liabilities +,250,245,239,224
Total Liabilities,471,445,404,366
Fixed Assets +,364,357,331,299
CWIP,30,22,15,13
Investments,2,2,2,2
Other Assets +,75,63,56,53
Total Assets,471,445,404,366
