,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,28,30,39,39
Reserves,147,144,177,339,355
Borrowings +,85,103,106,31,34
Other Liabilities +,92,66,50,48,54
Total Liabilities,330,342,363,458,481
Fixed Assets +,168,158,157,154,152
CWIP,3,5,1,0,2
Investments,0,0,1,4,10
Other Assets +,159,180,204,300,316
Total Assets,330,342,363,458,481
