,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Sep 2017
Share Capital +,6,6,56,56,56,89,89,89,89,89,89,89,39
Reserves,38,68,96,154,169,170,182,168,166,167,158,133,112
Borrowings +,117,126,147,153,104,92,129,142,160,146,176,172,87
Other Liabilities +,15,37,70,83,114,118,123,201,215,246,291,313,402
Total Liabilities,177,238,319,397,393,418,473,550,579,597,663,657,639
Fixed Assets +,129,140,194,259,252,260,284,289,356,396,355,332,282
CWIP,0,2,6,11,15,27,40,41,27,13,46,46,46
Investments,0,0,14,4,4,4,4,4,2,2,2,2,2
Other Assets +,47,96,105,123,122,128,145,216,195,186,260,277,309
Total Assets,177,238,319,397,393,418,473,550,579,597,663,657,639
