,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010
Sales +,51,64,71,48,32
Expenses +,38,40,52,52,40
Operating Profit,13,23,20,-4,-8
OPM %,25%,36%,27%,-8%,-25%
Other Income +,4,5,7,8,-2
Interest,3,3,3,2,1
Depreciation,3,3,3,3,3
Profit before tax,11,22,21,-1,-14
Tax %,38%,35%,37%,24%,-5%
Net Profit,7,15,13,-1,-15
EPS in Rs,1.22,1.83,2.13,-0.06,-1.78
