,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,-0,268,259,249,324,339
Expenses +,-0,238,235,223,271,311
Operating Profit,-0,30,24,26,53,28
OPM %,,11%,9%,11%,16%,8%
Other Income +,-0,1,2,5,9,8
Interest,2,9,12,12,12,12
Depreciation,-0,38,53,52,16,17
Profit before tax,-2,-17,-40,-33,34,8
Tax %,-0%,29%,16%,-32%,37%,
Net Profit,-5,-12,-33,-44,21,2
EPS in Rs,,,-5.67,-7.49,3.62,0.32
