,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,16,16,16,16,16,16,16,16
Reserves,834,866,915,980,996,907,882,927,893,927,"1,089","1,162","1,178"
Borrowings +,391,376,334,297,355,362,359,346,380,578,331,396,295
Other Liabilities +,"1,313","1,133","1,136","1,283","1,258","1,166","1,194","1,266","1,377","1,327","1,279","1,303","1,386"
Total Liabilities,"2,553","2,390","2,401","2,576","2,625","2,450","2,451","2,555","2,666","2,848","2,715","2,877","2,875"
Fixed Assets +,491,490,533,543,571,501,480,461,457,501,481,532,532
CWIP,26,43,17,10,12,6,4,13,25,51,73,27,46
Investments,5,2,4,12,0,43,46,49,57,104,195,238,218
Other Assets +,"2,032","1,856","1,847","2,011","2,042","1,901","1,921","2,031","2,127","2,191","1,966","2,080","2,079"
Total Assets,"2,553","2,390","2,401","2,576","2,625","2,450","2,451","2,555","2,666","2,848","2,715","2,877","2,875"
