,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,870,956,"1,137","1,254"
Expenses +,802,888,"1,038","1,133"
Operating Profit,68,68,99,121
OPM %,8%,7%,9%,10%
Other Income +,3,6,2,4
Interest,43,43,44,47
Depreciation,14,12,11,13
Profit before tax,14,19,46,65
Tax %,1%,8%,7%,
Net Profit,14,17,43,58
EPS in Rs,1.22,1.52,3.85,5.18
