,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,18,18,18,18,18,18,18,18
Reserves,-1,10,39,66,150,169,195,234
Borrowings +,146,95,166,99,109,174,201,224
Other Liabilities +,164,154,179,130,216,166,210,166
Total Liabilities,327,277,402,313,493,527,625,643
Fixed Assets +,65,63,125,94,158,160,158,159
CWIP,0,0,0,0,7,0,8,0
Investments,0,0,4,7,7,27,24,30
Other Assets +,262,214,273,212,321,339,434,454
Total Assets,327,277,402,313,493,527,625,643
