,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,34,34,34,34,34,25,25,25,25,25,25,25,25
Reserves,413,400,440,437,556,467,316,318,404,536,637,723,771
Borrowings +,-0,-0,-0,-0,13,28,18,7,72,73,96,127,140
Other Liabilities +,38,42,64,79,76,129,143,132,152,206,101,95,84
Total Liabilities,485,476,537,549,679,649,503,483,654,839,859,971,"1,020"
Fixed Assets +,202,298,257,233,217,174,206,168,236,248,291,411,359
CWIP,10,-0,0,0,-0,0,1,0,-0,1,0,2,8
Investments,-0,-0,-0,-0,7,31,35,61,117,179,222,269,341
Other Assets +,273,177,280,317,455,444,261,253,301,412,346,289,313
Total Assets,485,476,537,549,679,649,503,483,654,839,859,971,"1,020"
