,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14,14,14,14,14,14
Reserves,64,73,86,98,102,105,136,176,186,211,255,373,452
Borrowings +,29,61,75,82,103,99,166,233,250,279,261,391,302
Other Liabilities +,20,18,42,26,31,22,39,70,123,110,196,220,217
Total Liabilities,126,166,216,220,250,240,355,492,573,614,726,998,986
Fixed Assets +,20,33,44,61,54,54,68,109,137,182,172,191,199
CWIP,0,1,13,6,6,15,32,24,46,15,13,42,68
Investments,31,20,9,0,0,0,0,0,0,0,0,0,0
Other Assets +,75,112,150,153,190,170,255,359,390,418,540,764,718
Total Assets,126,166,216,220,250,240,355,492,573,614,726,998,986
