,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,18,90,90,90,90,90,90,90,90,90,90,90,90
Reserves,302,303,377,466,564,715,870,"1,045","1,194","1,313","1,524","1,822","1,840"
Borrowings +,2,3,46,40,38,2,0,170,0,0,81,47,23
Other Liabilities +,168,237,284,319,354,522,686,914,914,940,"1,163","1,779","1,399"
Total Liabilities,489,634,796,914,"1,047","1,329","1,646","2,219","2,198","2,343","2,858","3,738","3,353"
Fixed Assets +,88,58,64,64,88,130,210,226,372,416,544,592,910
CWIP,34,63,88,133,149,210,232,360,220,161,131,212,0
Investments,30,36,97,174,95,90,61,22,212,116,83,134,75
Other Assets +,339,476,547,542,715,899,"1,143","1,611","1,394","1,650","2,099","2,800","2,368"
Total Assets,489,634,796,914,"1,047","1,329","1,646","2,219","2,198","2,343","2,858","3,738","3,353"
