,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,832","5,398","5,993","5,900","6,197","6,941"
Expenses +,"4,271","4,755","5,319","5,379","5,781","6,490"
Operating Profit,561,642,673,521,416,451
OPM %,12%,12%,11%,9%,7%,6%
Other Income +,86,107,143,106,398,85
Interest,4,9,20,15,16,12
Depreciation,102,111,129,142,147,170
Profit before tax,541,629,667,470,650,355
Tax %,35%,35%,26%,25%,13%,
Net Profit,351,410,490,352,567,262
EPS in Rs,27.64,32.30,38.64,27.73,44.64,20.45
