,Mar 2006,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,22,68,78,78,88,58,113,134,134,134,134,104
Reserves,4,126,144,166,190,233,267,-19,-157,-158,-156,-205
Borrowings +,39,404,482,447,462,474,451,545,568,560,521,482
Other Liabilities +,10,194,215,302,302,238,231,180,231,119,128,107
Total Liabilities,71,782,900,973,"1,013","1,003","1,032",810,745,625,597,488
Fixed Assets +,44,384,401,426,410,402,359,310,276,242,212,199
CWIP,3,10,31,0,4,0,1,0,0,0,0,0
Investments,0,1,6,6,6,11,13,13,4,0,0,0
Other Assets +,25,387,463,542,593,590,659,487,465,383,385,289
Total Assets,71,782,900,973,"1,013","1,003","1,032",810,745,625,597,488
