,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6
Reserves,24,29,30
Borrowings +,75,81,74
Other Liabilities +,60,59,80
Total Liabilities,165,175,190
Fixed Assets +,59,60,60
CWIP,0,1,1
Investments,1,1,0
Other Assets +,105,114,129
Total Assets,165,175,190
