,Sep 2011,Sep 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,37,48,48,48,84,96,108,120,121,121,121,112,112
Reserves,17,36,42,45,49,52,66,131,147,173,171,146,149
Borrowings +,3,5,5,7,40,19,3,3,4,13,18,32,35
Other Liabilities +,53,100,36,79,59,14,155,109,193,141,73,135,142
Total Liabilities,110,189,131,178,231,181,332,363,466,448,384,425,438
Fixed Assets +,3,10,9,8,7,6,6,9,9,9,10,10,10
CWIP,-0,-0,-0,-0,-0,-0,3,-0,0,68,73,3,3
Investments,0,3,0,0,-0,1,-0,14,0,0,0,0,0
Other Assets +,108,176,122,170,224,174,323,340,456,371,301,412,425
Total Assets,110,189,131,178,231,181,332,363,466,448,384,425,438
