,Mar 2009,Mar 2010,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6.34,6.34,6.34,20.60,18.05,19.96,19.96,19.96,19.96,19.96,19.96
Reserves,14.63,10.58,0.37,17.52,20.40,24.02,29.99,33.88,47.55,48.19,47.52
Borrowings +,0.92,0.54,0.32,10.91,8.02,22.24,11.86,16.89,12.55,17.87,13.08
Other Liabilities +,21.45,17.97,21.78,19.46,44.48,43.03,88.39,58.04,61.00,56.03,53.89
Total Liabilities,43.34,35.43,28.81,65.44,90.95,109.25,150.20,128.77,141.06,142.05,134.45
Fixed Assets +,9.86,9.15,9.43,4.60,13.80,14.92,18.10,11.78,7.77,2.99,27.62
CWIP,0.06,0.00,0.10,9.73,7.69,8.71,1.51,14.56,25.83,25.83,0.00
Investments,17.38,0.37,0.37,7.23,7.33,7.30,7.27,6.78,0.05,0.10,0.10
Other Assets +,16.04,25.91,18.91,43.88,62.13,78.32,123.32,95.65,107.41,113.13,106.73
Total Assets,43.34,35.43,28.81,65.44,90.95,109.25,150.20,128.77,141.06,142.05,134.45
