,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,292","4,219","4,644","3,614","1,912","3,056","4,027"
Expenses +,"1,218","3,977","4,350","3,390","1,911","2,869","3,649"
Operating Profit,74,242,294,224,1,187,378
OPM %,6%,6%,6%,6%,0%,6%,9%
Other Income +,2,5,4,-2,-134,-67,52
Interest,34,96,131,278,183,130,110
Depreciation,43,139,153,421,238,233,229
Profit before tax,-1,12,13,-477,-554,-242,90
Tax %,"1,310%",-12%,-67%,16%,-8%,2%,
Net Profit,15,13,21,-399,-596,-237,76
EPS in Rs,,,1.48,-35.31,-51.08,-20.19,1.87
