,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6.29,6.17,6.17,6.13
Reserves,266.77,261.97,261.95,260.49
Borrowings +,0.00,2.00,2.00,2.05
Other Liabilities +,49.60,47.95,52.13,51.51
Total Liabilities,316.37,318.05,322.21,320.18
Fixed Assets +,53.63,42.98,51.01,52.95
CWIP,0.01,0.14,0.30,0.00
Investments,7.48,9.09,27.82,24.82
Other Assets +,255.25,265.84,243.08,242.41
Total Assets,316.37,318.05,322.21,320.18
