,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Share Capital +,26.20,29.80,29.80,30.02,15.02,23.30,24.45,15.02
Reserves,73.50,121.88,136.35,-107.04,-503.94,-696.38,-708.57,-710.75
Borrowings +,203.60,235.22,223.48,535.46,618.44,690.31,701.27,713.47
Other Liabilities +,432.01,442.07,628.88,211.10,124.05,29.26,28.67,19.34
Total Liabilities,720.31,813.97,"1,003.51",654.54,253.57,38.21,36.39,37.08
Fixed Assets +,63.64,63.37,57.37,27.97,21.54,14.84,10.37,9.88
CWIP,0.00,1.12,1.56,0.00,0.00,0.00,0.00,0.00
Investments,0.76,0.76,0.76,0.01,0.01,0.01,0.01,0.01
Other Assets +,655.91,748.72,943.82,626.56,232.02,23.36,26.01,27.19
Total Assets,720.31,813.97,"1,003.51",654.54,253.57,38.21,36.39,37.08
