,Mar 2014,TTM
Sales +,362,332
Expenses +,320,299
Operating Profit,42,33
OPM %,12%,10%
Other Income +,25,11
Interest,8,0
Depreciation,16,12
Profit before tax,44,33
Tax %,20%,
Net Profit,35,33
EPS in Rs,27.15,25.22
