,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,332,332,332,332,351,351,351,351,351,351,351,604,604
Reserves,"2,100","2,524","2,923","3,228","4,009","4,485","4,920","5,341","5,964","6,331","6,549","11,962","12,419"
Borrowings +,"4,624","7,072","8,776","11,084","12,576","15,626","13,963","13,832","16,599","9,205","19,219","16,697","16,624"
Other Liabilities +,923,929,"1,034","1,059","22,453","21,699","27,406","20,865","17,549","23,997","15,052","13,218","13,806"
Total Liabilities,"7,980","10,858","13,066","15,704","39,391","42,162","46,641","40,389","40,464","39,885","41,171","42,481","43,453"
Fixed Assets +,"3,362","5,554","5,509","8,554","31,764","35,149","24,388","31,071","32,943","27,671","27,102","27,271","27,217"
CWIP,"2,507","2,445","4,916","4,487","4,835","4,020","6,806","5,648","3,797",403,673,63,11
Investments,55,14,62,15,9,36,146,945,645,"4,146","4,799","4,904","4,847"
Other Assets +,"2,055","2,845","2,579","2,648","2,783","2,957","15,301","2,724","3,079","7,666","8,597","10,243","11,377"
Total Assets,"7,980","10,858","13,066","15,704","39,391","42,162","46,641","40,389","40,464","39,885","41,171","42,481","43,453"
