,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,149","2,187","2,645","2,428","2,300","2,436"
Expenses +,"1,153","2,178","2,587","2,420","2,275","2,425"
Operating Profit,-4,9,57,8,25,12
OPM %,-0%,0%,2%,0%,1%,0%
Other Income +,9,28,32,53,76,65
Interest,4,7,82,91,97,104
Depreciation,15,25,138,134,126,130
Profit before tax,-14,4,-131,-164,-122,-157
Tax %,0%,43%,0%,0%,0%,
Net Profit,-14,2,-131,-164,-121,-157
EPS in Rs,,0.27,-14.51,-18.18,-13.48,-17.38
