,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,26,26,26,34,34,34,34,34,34,34,34
Reserves,346,385,390,425,391,497,448,468,536,505,456,493,519
Borrowings +,187,461,906,"1,507","2,005","1,705","1,597","1,689","1,668","1,746","1,699","1,796","1,872"
Other Liabilities +,699,592,685,940,"1,120","1,683","1,914","2,334","2,769","2,950","3,332","3,821","4,349"
Total Liabilities,"1,259","1,465","2,008","2,898","3,542","3,918","3,992","4,524","5,007","5,235","5,521","6,144","6,773"
Fixed Assets +,228,274,257,679,"2,023","2,072","2,058","2,078","2,122","2,186","2,154","2,168","2,286"
CWIP,46,245,875,"1,047",32,0,10,4,7,15,19,21,27
Investments,38,7,7,9,11,23,-0,-0,-0,-0,-0,-0,-0
Other Assets +,948,940,869,"1,164","1,477","1,822","1,924","2,442","2,877","3,034","3,348","3,955","4,460"
Total Assets,"1,259","1,465","2,008","2,898","3,542","3,918","3,992","4,524","5,007","5,235","5,521","6,144","6,773"
