,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Sep 2016
Share Capital +,20,20,20,20,21,21,21
Reserves,73,86,104,114,148,175,198
Borrowings +,46,99,151,206,224,228,230
Other Liabilities +,35,33,55,63,87,159,151
Total Liabilities,173,237,329,403,479,583,599
Fixed Assets +,22,39,92,91,149,161,339
CWIP,18,60,44,97,122,149,0
Investments,0,0,0,0,0,0,0
Other Assets +,133,138,192,215,208,273,260
Total Assets,173,237,329,403,479,583,599
