,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Share Capital +,5,18,18,18,18,18,18,18,18
Reserves,39,128,121,102,103,102,72,67,-142
Borrowings +,74,118,156,224,264,273,266,275,317
Other Liabilities +,29,39,50,27,29,32,41,54,79
Total Liabilities,147,304,345,372,414,425,397,414,273
Fixed Assets +,30,63,86,93,132,223,212,172,159
CWIP,0,4,12,64,72,0,0,0,0
Investments,0,10,38,20,7,0,0,0,0
Other Assets +,116,227,209,194,202,203,186,242,114
Total Assets,147,304,345,372,414,425,397,414,273
