,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,61.06,67.81,39.44,53.88,47.86,53.40,39.63,49.21
Expenses +,52.48,59.86,35.69,45.22,44.43,45.38,38.00,47.18
Operating Profit,8.58,7.95,3.75,8.66,3.43,8.02,1.63,2.03
OPM %,14.05%,11.72%,9.51%,16.07%,7.17%,15.02%,4.11%,4.13%
Other Income +,0.15,0.31,2.26,1.14,1.88,0.23,-2.62,-2.73
Interest,0.74,0.51,0.05,0.11,0.45,0.28,0.50,0.49
Depreciation,0.95,0.90,1.75,1.26,1.42,3.09,3.13,3.46
Profit before tax,7.04,6.85,4.21,8.43,3.44,4.88,-4.62,-4.65
Tax %,23.86%,32.85%,27.79%,28.71%,29.65%,27.25%,23.81%,
Net Profit,5.36,4.60,3.04,6.02,2.41,3.54,-3.53,-3.61
EPS in Rs,7.15,4.47,2.95,5.84,2.35,3.45,-3.44,-3.51
