,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,"1,332",670,670,661,661,
Reserves,-956,-816,"-1,326","-1,670","-2,300",
Borrowings +,"1,415","1,368","1,852","1,423","1,397",
Other Liabilities +,"2,825","3,093","2,742","3,107","3,202",
Total Liabilities,"4,607","4,306","3,929","3,521","2,960",
Fixed Assets +,"1,959","2,510","2,371","2,387","2,271",
CWIP,417,0,0,0,0,
Investments,88,86,85,84,79,
Other Assets +,"2,143","1,710","1,473","1,050",609,
Total Assets,"4,607","4,306","3,929","3,521","2,960",
