,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,27,27,27,27
Reserves,157,174,198,218
Borrowings +,0,13,-0,0
Other Liabilities +,25,40,37,51
Total Liabilities,210,255,262,296
Fixed Assets +,50,41,53,52
CWIP,-0,2,1,3
Investments,-0,-0,-0,-0
Other Assets +,160,212,208,242
Total Assets,210,255,262,296
