,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,33,33,33,33,33,33,33,33,33,33,33,33,33
Reserves,"1,329","1,445","1,593","1,786","2,069","2,778","3,274","3,872","4,077","4,247","4,960","5,466","5,558"
Borrowings +,138,225,262,264,122,271,171,142,315,219,261,373,393
Other Liabilities +,"2,643","2,454","2,676","2,660","2,662","2,788","2,991","3,249","3,091","3,657","3,402","3,874","3,285"
Total Liabilities,"4,143","4,157","4,564","4,744","4,886","5,869","6,469","7,296","7,515","8,156","8,655","9,746","9,270"
Fixed Assets +,310,289,300,288,269,276,300,297,343,380,388,384,408
CWIP,1,5,0,2,4,1,1,4,16,26,9,59,142
Investments,269,312,407,732,"1,094","1,975","2,268","2,754","2,386","2,343","3,046","3,615","3,090"
Other Assets +,"3,563","3,551","3,857","3,721","3,519","3,617","3,901","4,242","4,771","5,406","5,212","5,688","5,630"
Total Assets,"4,143","4,157","4,564","4,744","4,886","5,869","6,469","7,296","7,515","8,156","8,655","9,746","9,270"
