,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,11,15,22,24,24,24,24,24,24,24,24,15
Reserves,62,106,117,121,85,50,-52,-212,-431,-649,-661,129,354
Borrowings +,263,409,540,563,786,813,"1,116","1,181","1,325","1,463","1,486",630,399
Other Liabilities +,224,359,464,559,485,398,140,198,197,244,142,169,139
Total Liabilities,555,885,"1,137","1,259","1,371","1,275","1,220","1,181","1,105","1,072",982,942,907
Fixed Assets +,123,120,116,351,332,325,745,726,702,680,656,635,625
CWIP,41,219,395,221,270,292,1,0,0,0,0,0,0
Investments,1,1,2,2,0,0,0,0,0,0,0,0,0
Other Assets +,390,544,624,685,770,658,473,455,403,392,325,307,282
Total Assets,555,885,"1,137","1,259","1,371","1,275","1,220","1,181","1,105","1,072",982,942,907
