,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,25,25,25,25,25,25,25,25,25,25,25,25,25
Reserves,403,442,469,451,477,493,526,606,693,845,978,"1,184","1,303"
Borrowings +,569,639,715,763,717,754,644,578,461,386,716,790,663
Other Liabilities +,264,242,257,246,321,391,346,384,401,555,657,738,959
Total Liabilities,"1,261","1,349","1,466","1,485","1,540","1,663","1,542","1,594","1,580","1,811","2,376","2,737","2,951"
Fixed Assets +,199,641,654,656,623,689,781,735,778,795,737,926,"1,603"
CWIP,418,44,56,86,165,126,23,92,19,103,518,792,219
Investments,41,19,36,20,25,1,24,1,29,72,1,1,31
Other Assets +,602,645,720,724,728,848,713,766,754,841,"1,122","1,018","1,097"
Total Assets,"1,261","1,349","1,466","1,485","1,540","1,663","1,542","1,594","1,580","1,811","2,376","2,737","2,951"
