,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,183,183,183,183,184,184,184,184,175,175,175,177,177
Reserves,646,744,846,963,"1,105","1,214","1,410","1,745","1,652","1,503","1,648","1,705","1,682"
Borrowings +,211,213,163,154,124,137,81,45,51,345,248,199,202
Other Liabilities +,315,405,441,468,493,417,409,481,516,463,405,456,519
Total Liabilities,"1,355","1,545","1,633","1,770","1,905","1,951","2,084","2,455","2,394","2,486","2,476","2,537","2,580"
Fixed Assets +,668,748,831,850,816,867,910,"1,002",986,"1,221","1,202","1,154","1,112"
CWIP,41,45,7,2,4,46,21,21,1,1,0,0,4
Investments,16,46,81,72,69,71,27,36,37,18,14,14,40
Other Assets +,630,706,714,845,"1,016",968,"1,126","1,397","1,370","1,245","1,259","1,369","1,424"
Total Assets,"1,355","1,545","1,633","1,770","1,905","1,951","2,084","2,455","2,394","2,486","2,476","2,537","2,580"
