,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,174,244,252,455,764,834
Reserves,"1,036","2,356",457,"7,644","15,718","18,914"
Borrowings +,12,104,73,72,70,521
Other Liabilities +,327,953,"2,370",987,774,"1,430"
Total Liabilities,"1,374","3,413","2,900","8,704","17,327","21,697"
Fixed Assets +,190,389,"1,591","1,539","1,404","6,525"
CWIP,1,1,1,0,1,14
Investments,829,"2,145",324,"2,205","4,718","4,657"
Other Assets +,354,879,985,"4,959","11,204","10,502"
Total Assets,"1,374","3,413","2,900","8,704","17,327","21,697"
