,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,9,9,9,9,9,9,9,9
Reserves,259,300,353,426,437,451,482,521
Borrowings +,127,92,104,140,347,338,401,403
Other Liabilities +,463,478,751,615,490,564,654,779
Total Liabilities,859,880,"1,217","1,190","1,283","1,362","1,546","1,712"
Fixed Assets +,408,419,518,549,653,627,711,706
CWIP,17,20,34,50,32,47,48,46
Investments,69,79,88,81,90,92,102,120
Other Assets +,365,362,577,510,508,596,685,840
Total Assets,859,880,"1,217","1,190","1,283","1,362","1,546","1,712"
