,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM
Sales +,30,55,125,170,181,158,77,26
Expenses +,614,85,144,170,174,149,97,76
Operating Profit,-584,-30,-18,-1,7,9,-20,-49
OPM %,"-1,965%",-54%,-15%,-1%,4%,6%,-26%,-187%
Other Income +,935,22,9,8,7,5,7,1
Interest,4,1,7,9,9,11,10,7
Depreciation,4,5,2,2,2,2,2,2
Profit before tax,343,-13,-19,-4,3,1,-25,-57
Tax %,23%,-29%,-8%,3%,-13%,51%,5%,
Net Profit,263,-17,-20,-4,4,0,-24,-55
EPS in Rs,,-10.52,-12.73,-2.50,2.22,0.26,-14.19,-32.53
