,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,"6,654","6,654",39,39,37,37,37
Reserves,"2,963","3,667","10,586","10,511","12,767","15,629","14,995"
Borrowings +,"8,038","7,266","5,883","6,049","3,839","3,176","3,369"
Other Liabilities +,"10,261","10,401","4,030","4,279","5,243","5,630","5,143"
Total Liabilities,"21,262","21,334","20,538","20,878","21,886","24,472","23,544"
Fixed Assets +,"15,516","14,037","13,573","12,555","13,626","14,008","14,288"
CWIP,128,173,520,"1,740","1,006","1,047","1,487"
Investments,"2,740","3,505","2,424","2,816","4,033","5,704","3,636"
Other Assets +,"2,878","3,619","4,021","3,767","3,221","3,713","4,133"
Total Assets,"21,262","21,334","20,538","20,878","21,886","24,472","23,544"
