,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,50.44,50.44,42.42,42.42,42.42,20.59,21.65,21.65,21.65,21.65
Reserves,-62.13,-11.59,5.40,10.88,18.28,32.61,3.74,-41.74,-56.07,-66.26
Borrowings +,97.53,43.34,49.69,47.76,52.90,75.87,72.37,87.16,90.63,69.84
Other Liabilities +,56.07,57.74,63.19,64.17,72.00,25.64,23.20,22.17,21.30,21.12
Total Liabilities,109.64,107.66,137.69,142.22,162.59,154.71,120.96,89.24,77.51,46.35
Fixed Assets +,34.33,31.95,36.79,33.27,35.63,33.95,31.55,28.07,24.43,22.49
CWIP,0.00,0.36,0.57,5.54,0.03,0.00,0.00,0.00,0.00,0.00
Investments,9.53,9.53,11.46,11.08,10.14,0.63,0.63,0.63,0.63,0.63
Other Assets +,65.78,65.82,88.87,92.33,116.79,120.13,88.78,60.54,52.45,23.23
Total Assets,109.64,107.66,137.69,142.22,162.59,154.71,120.96,89.24,77.51,46.35
