,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,59,59,59,59
Reserves,1,2,6,9
Borrowings +,8,18,23,18
Other Liabilities +,28,31,31,26
Total Liabilities,97,111,119,112
Fixed Assets +,48,47,52,53
CWIP,0,6,2,2
Investments,3,6,11,5
Other Assets +,45,52,54,52
Total Assets,97,111,119,112
