,Mar 2017,Mar 2018
Share Capital +,16,17
Reserves,99,111
Borrowings +,62,68
Other Liabilities +,22,32
Total Liabilities,199,228
Fixed Assets +,52,58
CWIP,2,4
Investments,12,16
Other Assets +,133,150
Total Assets,199,228
