,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,938,"1,228","1,141",466,609,547
Expenses +,854,"1,107",886,413,495,460
Operating Profit,84,121,255,54,114,87
OPM %,9%,10%,22%,12%,19%,16%
Other Income +,13,6,3,25,-596,-593
Interest,16,18,81,98,79,71
Depreciation,50,45,166,165,137,109
Profit before tax,31,64,11,-184,-698,-685
Tax %,0%,0%,0%,0%,0%,
Net Profit,30,62,-6,-184,-698,-685
EPS in Rs,7.61,15.35,-1.31,-42.01,-159.04,-156.16
