,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,23,23,24,23
Reserves,46,165,231,281,315
Borrowings +,98,164,216,351,422
Other Liabilities +,109,189,269,333,422
Total Liabilities,266,539,737,986,"1,182"
Fixed Assets +,133,250,308,427,552
CWIP,0,26,53,87,23
Investments,-0,2,0,-0,-0
Other Assets +,133,261,375,472,607
Total Assets,266,539,737,986,"1,182"
