,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8.22,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57,12.57
Reserves,24.27,87.50,89.69,98.54,97.70,101.65,107.70,114.17,114.33,71.50,42.99,36.87,38.12
Borrowings +,10.71,24.10,30.58,33.97,40.10,28.47,37.34,37.70,42.70,72.35,77.75,79.37,78.23
Other Liabilities +,27.08,70.77,47.07,55.15,84.70,90.72,103.79,80.48,87.19,52.05,48.93,78.26,63.45
Total Liabilities,70.28,194.94,179.91,200.23,235.07,233.41,261.40,244.92,256.79,208.47,182.24,207.07,192.37
Fixed Assets +,2.69,5.80,4.64,4.01,3.50,9.41,17.37,17.82,14.06,31.61,32.23,30.88,30.29
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,1.19,2.16,0.00,0.00,0.00
Investments,0.00,4.06,5.82,4.75,10.92,11.23,2.36,0.69,0.97,1.06,0.46,0.47,0.92
Other Assets +,67.59,185.08,169.45,191.47,220.65,212.77,241.67,225.74,240.57,173.64,149.55,175.72,161.16
Total Assets,70.28,194.94,179.91,200.23,235.07,233.41,261.40,244.92,256.79,208.47,182.24,207.07,192.37
