,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,85,85,85,85,85,85,85,85,85,85,85,85,85
Reserves,"2,300","2,602","2,995","3,375","3,756","4,305","4,947","5,344","6,022","6,382","7,187","10,499","10,877"
Borrowings +,104,27,51,35,58,115,187,60,89,196,509,520,525
Other Liabilities +,"1,074","1,208","8,178","8,999","9,989","10,866","12,546","14,326","16,235","17,688","20,625","2,799","3,289"
Total Liabilities,"3,563","3,923","11,309","12,494","13,887","15,370","17,765","19,815","22,431","24,351","28,406","13,902","14,776"
Fixed Assets +,968,"1,104","1,677","1,686","1,781","1,975","2,259","2,681","3,080","3,248","3,599","3,361","3,697"
CWIP,52,27,61,63,115,192,149,241,300,405,431,341,321
Investments,861,993,"6,787","7,890","8,817","10,446","11,884","12,490","14,328","15,816","18,807","5,558","5,935"
Other Assets +,"1,682","1,797","2,784","2,855","3,175","2,757","3,474","4,402","4,723","4,883","5,570","4,642","4,823"
Total Assets,"3,563","3,923","11,309","12,494","13,887","15,370","17,765","19,815","22,431","24,351","28,406","13,902","14,776"
