,Mar 2014,Mar 2015,Mar 2016,Mar 2017,TTM
Sales +,572,531,538,548,503
Expenses +,550,511,518,528,486
Operating Profit,21,20,21,20,17
OPM %,4%,4%,4%,4%,3%
Other Income +,0,1,1,1,1
Interest,9,9,10,9,8
Depreciation,4,3,3,3,3
Profit before tax,9,9,9,9,7
Tax %,32%,35%,37%,38%,
Net Profit,6,6,6,6,4
EPS in Rs,1.25,1.10,1.12,1.12,0.88
