,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,29,29,29,29,29,29,29,29,29,29,29
Reserves,206,214,230,287,293,308,331,196,-52,-144,-153
Borrowings +,70,124,182,657,593,400,576,523,510,514,526
Other Liabilities +,402,430,581,57,183,70,48,132,130,150,282
Total Liabilities,708,797,"1,023","1,031","1,098",807,985,880,617,550,683
Fixed Assets +,197,183,174,173,166,204,200,197,189,163,165
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,510,614,849,858,932,603,785,683,428,387,519
Total Assets,708,797,"1,023","1,031","1,098",807,985,880,617,550,683
