,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,029",954,"1,616","1,928"
Expenses +,614,601,"1,180","1,417"
Operating Profit,415,353,435,511
OPM %,40%,37%,27%,26%
Other Income +,45,26,61,68
Interest,2,1,2,1
Depreciation,33,43,45,49
Profit before tax,425,335,449,529
Tax %,21%,20%,23%,
Net Profit,334,269,347,402
EPS in Rs,32.48,26.20,33.72,39.08
