,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,22,22,22,44,44,44,44,48,48,48
Reserves,67,82,101,124,174,207,227,294,337,391,918,"1,040","1,086"
Borrowings +,29,46,49,67,79,82,101,133,161,207,137,127,129
Other Liabilities +,47,42,53,73,89,76,85,94,112,126,121,163,185
Total Liabilities,153,182,214,286,364,387,457,565,654,767,"1,224","1,377","1,448"
Fixed Assets +,70,85,92,123,165,182,207,265,306,363,426,488,505
CWIP,8,5,8,20,10,14,20,18,19,25,21,43,89
Investments,2,2,4,3,4,4,3,17,8,25,354,346,258
Other Assets +,74,89,110,140,185,187,227,264,321,354,422,499,596
Total Assets,153,182,214,286,364,387,457,565,654,767,"1,224","1,377","1,448"
