,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,0,32,32,31,31,31,31
Reserves,"4,814","5,075","5,347","5,684","5,667","5,518","5,523"
Borrowings +,950,"1,095","1,042","1,357","1,589","1,830","2,038"
Other Liabilities +,811,967,899,"1,121","1,068","1,255","1,234"
Total Liabilities,"6,574","7,169","7,321","8,193","8,356","8,634","8,826"
Fixed Assets +,"4,852","5,066","5,098","5,678","5,698","5,773","5,672"
CWIP,133,151,175,234,486,780,984
Investments,40,196,167,191,172,324,185
Other Assets +,"1,550","1,757","1,881","2,091","2,000","1,758","1,985"
Total Assets,"6,574","7,169","7,321","8,193","8,356","8,634","8,826"
