,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,31,31,31,31,31,31,31,31
Reserves,261,361,497,598,602,791,"1,031","1,130"
Borrowings +,116,82,87,194,230,165,173,198
Other Liabilities +,171,184,245,323,299,337,416,480
Total Liabilities,578,658,860,"1,146","1,161","1,324","1,651","1,839"
Fixed Assets +,322,324,403,389,471,702,736,720
CWIP,4,11,89,283,339,132,118,155
Investments,0,17,60,70,12,16,81,189
Other Assets +,252,306,308,404,339,475,716,775
Total Assets,578,658,860,"1,146","1,161","1,324","1,651","1,839"
