,Jun 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,0,16,11,11,11,11,11,11,11,11,18,18,12
Reserves,-1,306,288,301,296,288,215,163,124,114,110,99,27
Borrowings +,0,145,241,457,624,644,734,756,779,763,785,957,960
Other Liabilities +,1,58,121,136,185,264,227,213,207,216,189,88,113
Total Liabilities,0,520,661,905,"1,117","1,206","1,188","1,144","1,122","1,105","1,096","1,156","1,112"
Fixed Assets +,0,295,295,340,325,"1,030",994,944,923,886,848,985,953
CWIP,0,73,162,348,604,2,0,10,9,3,1,1,0
Investments,0,2,15,8,0,0,0,0,0,8,1,0,0
Other Assets +,0,150,188,208,187,175,193,190,190,207,246,170,158
Total Assets,0,520,661,905,"1,117","1,206","1,188","1,144","1,122","1,105","1,096","1,156","1,112"
