,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Share Capital +,9,9,9,9,9,9,9
Reserves,64,70,75,78,67,64,71
Borrowings +,171,165,133,227,156,205,159
Other Liabilities +,29,24,21,23,23,22,25
Total Liabilities,273,268,238,336,255,300,264
Fixed Assets +,25,23,21,20,26,27,26
CWIP,0,0,1,4,0,0,0
Investments,0,0,0,0,0,0,0
Other Assets +,248,245,215,313,229,273,239
Total Assets,273,268,238,336,255,300,264
