,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,3,3,3,3,3,12,12,12,12,12
Reserves,45,55,54,54,54,51,46,52,162,162,166,179,184
Borrowings +,36,46,39,36,38,58,68,73,111,129,106,112,121
Other Liabilities +,42,49,43,54,59,75,78,90,122,113,164,177,118
Total Liabilities,125,152,139,148,154,188,194,218,407,415,448,480,435
Fixed Assets +,30,57,58,56,55,74,78,85,96,106,122,142,165
CWIP,10,1,0,0,0,4,2,1,9,23,13,16,12
Investments,5,6,6,5,4,4,4,4,4,4,4,5,8
Other Assets +,80,89,74,87,95,106,110,129,298,281,309,316,250
Total Assets,125,152,139,148,154,188,194,218,407,415,448,480,435
