,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,18,18,19,23
Reserves,109,132,139,213,574
Borrowings +,69,174,140,161,102
Other Liabilities +,106,98,96,111,139
Total Liabilities,301,422,394,504,839
Fixed Assets +,22,125,113,130,161
CWIP,5,1,4,0,4
Investments,0,1,1,2,2
Other Assets +,275,296,276,373,672
Total Assets,301,422,394,504,839
