,Dec 2010
Share Capital +,48
Reserves,955
Borrowings +,896
Other Liabilities +,"2,570"
Total Liabilities,"4,468"
Fixed Assets +,872
CWIP,22
Investments,0
Other Assets +,"3,574"
Total Assets,"4,468"
