,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,19,19
Reserves,181,825,"1,065",646,898,331
Borrowings +,184,"2,228","1,234",479,446,"1,328"
Other Liabilities +,"4,540","2,323","2,719","2,568","2,137","1,783"
Total Liabilities,"4,920","5,392","5,034","3,709","3,500","3,461"
Fixed Assets +,21,31,45,46,42,47
CWIP,3,0,4,0,0,0
Investments,0,0,0,0,0,0
Other Assets +,"4,896","5,360","4,985","3,663","3,457","3,414"
Total Assets,"4,920","5,392","5,034","3,709","3,500","3,461"
